ID;RegioS;Perioden;BevolkingAanHetBeginVanDePeriode_1;LevendGeborenKinderen_2;Overledenen_3;TotaleVestiging_4;VestigingVanuitEenAndereGemeente_5;Immigratie_6;TotaalVertrekInclAdmCorrecties_7;VertrekNaarAndereGemeente_8;EmigratieInclusiefAdmCorrecties_9;OverigeCorrecties_10;Bevolkingsgroei_11;BevolkingsgroeiRelatief_12;BevolkingsgroeiSinds1Januari_13;BevolkingsgroeiSinds1JanuariRela_14;BevolkingAanHetEindeVanDePeriode_15
115230;GM0737;2017MM02;   31938;      29;      29;     135;     129;       6;     131;     127;       4;;       4;    0.01;     -21;   -0.07;   31942
115231;GM0737;2017MM03;   31942;      28;      32;     115;     109;       6;     149;     138;      11;;     -38;   -0.12;     -59;   -0.18;   31904
115232;GM0737;2017MM04;   31904;      24;      30;      83;      82;       1;     110;     107;       3;;     -33;   -0.10;     -92;   -0.29;   31871
115233;GM0737;2017MM05;   31871;      26;      24;     125;     119;       6;     101;      93;       8;;      26;    0.08;     -66;   -0.21;   31897
115234;GM0737;2017MM06;   31897;      18;      35;     143;     138;       5;     101;      97;       4;;      25;    0.08;     -41;   -0.13;   31922
115235;GM0737;2017MM07;   31922;      19;      24;     149;     124;      25;     125;     124;       1;;      19;    0.06;     -22;   -0.07;   31941
115236;GM0737;2017MM08;   31941;      21;      30;     181;     177;       4;     140;     135;       5;;      32;    0.10;      10;    0.03;   31973
115237;GM0737;2017MM09;   31973;      20;      27;     140;     125;      15;     173;     162;      11;;     -40;   -0.13;     -30;   -0.09;   31933
115238;GM0737;2017MM10;   31933;      24;      25;     103;      98;       5;     225;     144;      81;;    -123;   -0.39;    -153;   -0.48;   31810
115239;GM0737;2017MM11;   31810;      31;      25;     136;     126;      10;     129;     124;       5;;      13;    0.04;    -140;   -0.44;   31823
115240;GM0737;2017MM12;   31823;      28;      18;     165;     153;      12;     130;     127;       3;       2;      47;    0.15;     -93;   -0.29;   31870
115241;GM0737;2017JJ00;   31963;     287;     337;    1608;    1504;     104;    1653;    1506;     147;       2;     -93;   -0.29;     -93;   -0.29;   31870
115242;GM0737;2018MM01;   31870;      30;      33;      98;      93;       5;     172;     160;      12;;     -77;   -0.24;     -77;   -0.24;   31793
115243;GM0737;2018MM02;   31793;      16;      30;     114;     109;       5;     141;     131;      10;;     -41;   -0.13;    -118;   -0.37;   31752
115244;GM0737;2018MM03;   31752;      18;      33;     137;     126;      11;     103;      96;       7;;      19;    0.06;     -99;   -0.31;   31771
115245;GM0737;2018MM04;   31771;      20;      33;     115;     105;      10;      98;      95;       3;;       4;    0.01;     -95;   -0.30;   31775
115246;GM0737;2018MM05;   31775;      14;      31;      87;      84;       3;     114;     112;       2;;     -44;   -0.14;    -139;   -0.44;   31731
115247;GM0737;2018MM06;   31731;      27;      19;     143;     140;       3;     134;     120;      14;;      17;    0.05;    -122;   -0.38;   31748
115248;GM0737;2018MM07;   31748;      32;      34;     182;     163;      19;     149;     138;      11;;      31;    0.10;     -91;   -0.29;   31779
115249;GM0737;2018MM08;   31779;      18;      33;     157;     146;      11;     148;     147;       1;;      -6;   -0.02;     -97;   -0.30;   31773
115250;GM0737;2018MM09;   31773;      33;      34;      95;      86;       9;     129;     133;      -4;;     -35;   -0.11;    -132;   -0.41;   31738
115251;GM0737;2018MM10;   31738;      21;      31;     129;     121;       8;     138;     128;      10;;     -19;   -0.06;    -151;   -0.47;   31719
115252;GM0737;2018MM11;   31719;      24;      19;     132;     123;       9;     113;     106;       7;;      24;    0.08;    -127;   -0.40;   31743
115253;GM0737;2018MM12;   31743;      25;      31;     141;     135;       6;     114;     107;       7;       0;      21;    0.07;    -106;   -0.33;   31764
115254;GM0737;2018JJ00;   31870;     278;     361;    1530;    1431;      99;    1553;    1473;      80;       0;    -106;   -0.33;    -106;   -0.33;   31764
115255;GM0737;2019MM01;   31764;      21;      23;     176;     166;      10;     125;     116;       9;;      49;    0.15;      49;    0.15;   31813
115256;GM0737;2019MM02;   31813;      21;      37;     122;     115;       7;     114;     107;       7;;      -8;   -0.03;      41;    0.13;   31805
115257;GM0737;2019MM03;   31805;      28;      27;     125;     120;       5;     117;     113;       4;;       9;    0.03;      50;    0.16;   31814
115258;GM0737;2019MM04;   31814;      27;      22;     106;      88;      18;     105;      99;       6;;       6;    0.02;      56;    0.18;   31820
115259;GM0737;2019MM05;   31820;      25;      25;      92;      85;       7;     106;      98;       8;;     -14;   -0.04;      42;    0.13;   31806
